dataset,representation,encoding,model,combination,test_bacc_mean,test_bacc_std
VDR,selfies,learnable,gru_balanced,151,0.5510666666666666,0.025586802153540873
VDR,selfies,onehot,transformer_balanced,82,0.5288,0.027462782896939725
VDR,smiles,onehot,transformer_balanced,10,0.5206666666666667,0.027030846576951047
VDR,smiles,learnable,transformer_balanced,405,0.5174666666666667,0.021624677261560837
VDR,selfies,random,transformer_balanced,285,0.516,0.03199999999999998
VDR,selfies,learnable,transformer_balanced,322,0.5048,0.009600000000000008
VDR,selfies,random,gru_balanced,218,0.5,0.0
VDR,selfies,onehot,gru_balanced,53,0.5,0.0
VDR,smiles,random,transformer_balanced,405,0.4993333333333333,0.001333333333333342
VDR,smiles,random,gru_balanced,158,0.49893333333333334,0.00213333333333332
